"","name","total_points"
"1","Andy Murray",312
"2","Stan Wawrinka",100
"3","Juan Martin Del Potro",80
"4","David Ferrer",68
"5","Tomas Berdych",58
"6","Jo Wilfried Tsonga",57
"7","Marin Cilic",51
"8","Dominic Thiem",46
"9","Kei Nishikori",43
"10","Nikolay Davydenko",38
"11","Milos Raonic",35
"12","Andy Roddick",34
"13","Grigor Dimitrov",32
"14","John Isner",29
"15","Robin Soderling",28
"16","Daniil Medvedev",25
"17","Fernando Gonzalez",24
"18","Kevin Anderson",22
"19","Stefanos Tsitsipas",21
"20","Gael Monfils",20
